Company,Location,Industry
YPF,Argentina,Energy
BHP Group,Australia,Materials
Verbund,Austria,Energy
Ahli United Bank,Bahrain,Banking
Grameenphone,Bangladesh,Telecommunications
Anheuser-Busch InBev,Belgium,Food and Beverage
Arch Capital Group,Bermuda,Insurance
First National Bank of Botswana,Botswana,Banking
Petrobras,Brazil,Energy
Tchaikapharma High Quality Medicines,Bulgaria,Pharmaceuticals and Biotech
Home Depot,Canada,Retail
Nu Holdings,Cayman Islands,IT Software and Services
SQM,Chile,Materials
Tencent Holdings,China,IT Software and Services
Ecopetrol,Colombia,Energy
Société Générale Côte d'Ivoire,Cote d'Ivoire,Banking
INA-Industrija Nafte d.d.,Croatia,Energy
Bank of Cyprus,Cyprus,Banking
CEZ Group,Czechia,Energy
Novo Nordisk,Denmark,Pharmaceuticals and Biotech
Commercial International Bank,Egypt,Banking
Enefit Green,Estonia,Energy
Nordea Bank,Finland,Banking
